Link,Title,Company,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=cac18e6bcbee5a21,Front end 개발자,브릭,성남 분당구,"연봉 28,000,000원","ElasticSearch 사용 언어 (빈도수 순) : Java, C#, Javascript, Scala, Python, R, C++ 7. 근무 조건 근무장소 : 경기도 성남시 분당구 판교역로 230, 309호(삼환하이펙스..."
https://kr.indeed.com/viewjob?jk=8b191f9812931802,[진행중]우리은행 AI사업부 전문직(AI알고리즘 고도화) 채용공고,우리은행,서울 회현동,,"업무 경력 5년 이상 - Tensorflow, Pytorch 등 머신러닝 도구 활용 역량 보유 - Python, R 등 프로그래밍 활용 역량 보유 - 프로젝트 매니징 또는 직무 리더 경험자 우대사항 - AI..."
https://kr.indeed.com/viewjob?jk=aea07d26df8ae423,Machine Learning Researcher – Audio and...,Qualcomm Korea YH,서울,,experience in machine learning • Programming skill in Python or C/C++ • Experience in PyTorch (preferred) or TensorFlow...
https://kr.indeed.com/viewjob?jk=8327679eecb720a4,2020년 개발자,NHN TOAST,성남 판교역,,"Network, Linux, Windows Server 트러블 슈팅 숙련자 - 2년 이상의 개발 경험자(PHP, Python 등) [QA Engineer 경력] Job Description 자격요건 우대사항 - 클라우..."
https://kr.indeed.com/viewjob?jk=9a818d9d91db847d,Data Analytics SA,Amazon Web Services Korea LLC,서울,,"some relevant languages, tools and frameworks (e.g python, Java, R, scala, spark, Kafka, Hadoop ecosystem, presto, Hive..."
https://kr.indeed.com/viewjob?jk=097c35ed002a62e5,NAVER IDC 서버 운영/관리(평촌),NIT Service,안양 동안구,,"Web, WAS에 대한 지식과 System application 운영 경험 - Shell script, python 활용 가능 - 해외 데이터센터 인프라 구축 또는 운영 경험 - 국가보훈대상자 및 장애인은 법령에 의거 우대..."
https://kr.indeed.com/viewjob?jk=1d89fe4b37ab05ed,"데이터마이닝, 빅데이터 큐레이터 외 신입/경력 정규직",에임즈인터내셔널코리아,서울 강남구,,"있거나 이에 준하는 실질적인 기술 경력 -데이터를 다루기 위한 Python 혹은 R 등의 프로그래밍 능력 -SQL의 사용 능력 -데이터를 다루기 위한 Python, R, Java 중 1개의 프로그래밍 능력 -대용량 데이터..."
https://kr.indeed.com/viewjob?jk=cd40cf786e32f325,사내 및 서비스 보안 담당자 (경력),네오위즈,대한민국,,"GuardDuty, WAF, VPC Flow Logs 분석 등)이 있으신 분 - 각종 스크립트 언어(Perl, Python, shell script 등)의 활용 능력을 가진 분 - 모바일 게임 앱에 대한 보안 검수 경험이..."
https://kr.indeed.com/viewjob?jk=eca59a4ce24a2ce1,이커머스팀 Data Analytics (데이터 분석가),에프알엘코리아,서울 송파구,,"이상의 영어, 또는 일본어 ■ 우대사항 Retail / E-commerce 분야의 데이터 분석 경험 Python, R, Spark 등을 활용한 데이터 프로세싱에 대한 높은 이해도 데이터 시각화(Tableau, Grafana..."
https://kr.indeed.com/viewjob?jk=16855c6c37b1810e,2020 [AI/ Data Scienitst],씨젠,서울 송파구,,"문가로서 다양한 대량 데이터 분석을 통한 통계적 추론 경험자 •머신러닝 기반 모델링 역량보유 및 분석기술 ( Python, R 언어등) 5년이상 경험자 •딥러닝 및 관련 프레임워크(Pytorch, Tensorflow)를 활용한..."
https://kr.indeed.com/viewjob?jk=a6d9692dec21424c,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발,성남 분당구,,"3년 이상 - 프로그램 개발( Python, Java) 능력 보유 - 대용량... 이상 -오픈소스 기반 백엔드 개발자 -Spring, node.js, python 프레임워크를 활용한 서버 개발 역량 -AWS를 활용한 개발 유경험자..."
https://kr.indeed.com/viewjob?jk=649ccf047c868778,"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,,"시스템, 머신러닝, 자연어처리. 패턴분석 - 다음 언어에서 최소 한 가지 이상 능숙자: Java, C++, Python, JavaScript 우대사항 - 석사이상 컴퓨터공학 (Computer Science) 분야 또는..."
https://kr.indeed.com/viewjob?jk=116009dbf59211ed,퍼즐데이터 역량있는 데이터 분석가,주식회사퍼즐데이터,서울 역삼동,,"데이터 마이닝 및 통계분석에 대한 전반적인 이해 3. 관련분야(산업공학, 통계 등) 전공 4. R or Python 사용 능력 * 이런 분은 더욱 좋아요. 1. 프로세스 마이닝 지식 보유자 2. 관련분야 대학원 전공 3..."
https://kr.indeed.com/viewjob?jk=1cebf88c0657b541,산업진흥원 연구 및 사무직,산업진흥원,충청남도 아산,"월급 2,400,000원 - 2,600,000원","업무 스마트팩토리 및 사회과학 연구, 사무업무 [총무ㆍ인사>일반사무>사무행정] 문서관리, JAVA 프로그램, Python 프로그램, C++ 프로그램 사용가능자 우대 (인센티브 지급) 문서 보관ㆍ보존하기,문서 수ㆍ발신하기,문서..."
